"CAMBRIDGE, MA US (USC00191097)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1886-04-19,,,39,0.00,,
1886-04-20,,66,,0.00,,
1886-04-21,,75,44,0.00,,
1886-04-22,,69,54,0.00,,
1886-04-23,,80,46,0.00,,
1886-04-24,,66,58,0.00,,
1886-04-25,,60,42,0.01,,
1886-04-26,,66,45,0.00,,
1886-04-27,,57,40,0.00,,
1886-04-28,,60,44,0.04,,
1886-04-29,,54,45,0.00,,
1886-04-30,,56,41,0.00,,
1886-05-01,,59,34,,,
1886-05-02,,54,37,,,
1886-05-03,,66,35,,,
1886-05-04,,74,47,,,
1886-05-05,,77,51,0.04,,
1886-05-06,,68,48,0.22,,
1886-05-07,,70,46,,,
1886-05-08,,57,49,,,
1886-05-09,,66,46,1.52,,
1886-05-10,,65,46,,,
1886-05-11,,49,46,0.27,,
1886-05-12,,53,43,0.04,,
1886-05-13,,56,43,,,
1886-05-14,,57,44,0.02,,
1886-05-15,,60,45,,,
1886-05-16,,67,50,0.68,,
1886-05-17,,61,44,0.01,,
1886-05-18,,64,41,,,
1886-05-19,,68,49,,,
1886-05-20,,74,50,,,
1886-05-21,,70,52,0.02,,
1886-05-22,,77,50,,,
1886-05-23,,81,57,,,
1886-05-24,,71,55,,,
1886-05-25,,60,52,,,
1886-05-26,,62,44,0.27,,
1886-05-27,,66,48,,,
1886-05-28,,68,50,0.08,,
1886-05-29,,75,48,,,
1886-05-30,,82,56,,,
1886-05-31,,70,59,,,
1886-06-01,,70,50,,,
1886-06-02,,75,50,,,
1886-06-03,,69,62,,,
1886-06-04,,70,50,0.57,,
1886-06-05,,74,49,,,
1886-06-06,,78,45,,,
1886-06-07,,72,55,,,
1886-06-08,,74,56,,,
1886-06-09,,78,53,,,
1886-06-10,,78,56,0.03,,
1886-06-11,,73,61,,,
1886-06-12,,67,54,0.04,,
1886-06-13,,57,51,,,
1886-06-14,,58,53,0.33,,
1886-06-15,,69,54,0.13,,
1886-06-16,,76,53,,,
1886-06-17,,78,65,,,
1886-06-18,,71,65,0.02,,
1886-06-19,,69,48,,,
1886-06-20,,73,47,,,
1886-06-21,,81,54,,,
1886-06-22,,80,57,,,
1886-06-23,,68,61,,,
1886-06-24,,63,58,0.06,,
1886-06-25,,71,58,0.19,,
1886-06-26,,78,59,0.04,,
1886-06-27,,74,61,,,
1886-06-28,,73,56,0.02,,
1886-06-29,,81,54,,,
1886-06-30,,74,55,,,
1886-07-01,,80,51,,,
1886-07-02,,80,56,,,
1886-07-03,,86,60,,,
1886-07-04,,81,60,,,
1886-07-05,,82,63,,,
1886-07-06,,93,63,,,
1886-07-07,,93,72,,,
1886-07-08,,84,71,,,
1886-07-09,,74,57,,,
1886-07-10,,77,56,,,
1886-07-11,,82,57,0.02,,
1886-07-12,,77,50,,,
1886-07-13,,81,54,,,
1886-07-14,,69,57,,,
1886-07-15,,78,63,1.42,,
1886-07-16,,77,66,0.99,,
1886-07-17,,83,67,0.04,,
1886-07-18,,82,64,,,
1886-07-19,,79,63,0.01,,
1886-07-20,,78,59,,,
1886-07-21,,75,60,,,
1886-07-22,,81,57,,,
1886-07-23,,75,55,,,
1886-07-24,,77,54,,,
1886-07-25,,78,58,,,
1886-07-26,,75,64,,,
1886-07-27,,77,69,0.55,,
1886-07-28,,78,62,0.02,,
1886-07-29,,85,63,,,
1886-07-30,,84,67,0.15,,
1886-07-31,,79,67,0.01,,
1886-08-01,,82,65,,,
1886-08-02,,80,67,0.45,,
1886-08-03,,68,55,,,
1886-08-04,,74,56,,,
1886-08-05,,75,56,,,
1886-08-06,,75,60,0.28,,
1886-08-07,,71,58,,,
1886-08-08,,75,56,1.14,,
1886-08-09,,82,62,,,
1886-08-10,,83,62,,,
1886-08-11,,83,64,,,
1886-08-12,,82,70,,,
1886-08-13,,80,61,0.04,,
1886-08-14,,81,67,,,
1886-08-15,,72,57,0.36,,
1886-08-16,,76,52,,,
1886-08-17,,66,61,0.49,,
1886-08-18,,68,54,,,
1886-08-19,,71,55,,,
1886-08-20,,70,49,,,
1886-08-21,,71,48,,,
1886-08-22,,68,47,,,
1886-08-23,,79,46,,,
1886-08-24,,82,56,,,
1886-08-25,,75,62,0.01,,
1886-08-26,,81,55,,,
1886-08-27,,85,64,,,
1886-08-28,,83,63,,,
1886-08-29,,76,64,,,
1886-08-30,,74,61,,,
1886-08-31,,80,65,0.04,,
1886-09-01,,68,56,0.33,,
1886-09-02,,68,47,0.00,,
1886-09-03,,68,49,0.00,,
1886-09-04,,,49,0.00,,
1886-09-05,,70,,0.00,,
1886-09-06,,75,57,0.00,,
1886-09-07,,81,65,0.00,,
1886-09-08,,81,66,0.00,,
1886-09-09,,82,66,0.00,,
1886-09-10,,75,62,0.53,,
1886-09-11,,77,64,0.00,,
1886-09-12,,78,51,0.00,,
1886-09-13,,68,55,0.37,,
1886-09-14,,71,45,0.00,,
1886-09-15,,71,58,0.00,,
1886-09-16,,76,58,0.02,,
1886-09-17,,78,60,0.22,,
1886-09-18,,70,59,0.15,,
1886-09-19,,69,48,0.00,,
1886-09-20,,63,56,0.04,,
1886-09-21,,61,40,0.00,,
1886-09-22,,57,40,0.00,,
1886-09-23,,56,45,0.00,,
1886-09-24,,67,49,1.34,,
1886-09-25,,69,48,0.00,,
1886-09-26,,75,51,0.00,,
1886-09-27,,75,64,0.00,,
1886-09-28,,63,54,0.40,,
1886-09-29,,62,56,0.06,,
1886-09-30,,61,43,0.00,,
1886-10-01,,66,48,0.00,,
